ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
379,1994,,,Primera Ascensión en solitario.,339,,,,,,,,
380,1995,2,,Primera Escalada por el día y sin clavos de la Pared Sur.,433,,,,,,,,
381,1996,,,Primera Absoluta.,414,,,,,,,,
382,1998,5,24,Primera Absoluta (cumbre secundaria),415,,,,,,,,
383,2000,9,4,Primera por la Cara Sur.,280,,,,,,,,
384,2002,1,13,Apertura Ruta Directa Cara Sur.,392,,,,,,,,
385,2002,12,18,Apertura Ruta Directa.,352,,,,,,,,
386,2003,4,,Tercera Absoluta.,730,,,,,,,,
387,2003,10,30,"Apertura Ruta Comercial, Pared Sur.",422,,,,,,,,
388,2003,12,29,Primera Escalada en Solitario de la Pared Sur.,433,,,,,,,,
389,2004,4,,Primera Absoluta.,287,,,,,,,,
390,2004,12,21,"Apertura Ruta ""Directa Oeste"". Pared Oeste.",384,,,,,,,,
391,2005,7,10,Apertura Ruta Directa Cara Oeste a la Cumbre Sur.,324,,,,,,,,
392,2005,9,19,Apertura Ruta Canalón SO.,658,,,,,,,,
393,2005,10,1,Primera Absoluta (Punta secundaria del Macizo del Rubilla).,328,,,,,,,,
394,2005,10,30,Apertura Ruta Filo Norte.,343,,,,,,,,
395,2005,12,29,Primera Absoluta.,18,,,,,,,,
396,2006,1,8,Apertura Ruta Canaleta Central,391,,,,,,,,
397,2006,2,9,Nueva Ruta por la Cara NE.,581,,,,,,,,
398,2006,3,26,Pared Sur. Primera Cordada Femenina.,316,,,,,,,,
399,2006,5,13,"Apertura Ruta ""La Gran Sorpresa"". Pared Oeste.",384,,,,,,,,
400,2006,10,22,Nueva Ruta por la Cara SO.,320,,,,,,,,
401,2006,12,12,Segunda Ascensión.,253,,,,,,,,
402,2007,2,12,Apertura Ruta Directa por la Cara Oeste.,471,,,,,,,,
403,2007,4,29,Primera Absoluta.,435,,,,,,,,
404,2007,9,16,"Apertura ruta ""Lo que la montaña se llevó"". Primera escalada de la Pared Este.",321,,,,,,,,
405,2007,9,18,"Apertura ruta ""Canalón de los Perros"". Primera Escalada de la Pared Sur.",327,,,,,,,,
406,2007,12,21,Segundo ascenso por la Cara Sur.,354,,,,,,,,
407,2007,12,22,Apertura Arista Este.,608,,,,,,,,
408,2008,6,24,Primera ascensión Invernal.,578,,,,,,,,
409,2008,6,24,Primera ascensión Invernal.,582,,,,,,,,
410,2008,6,28,Primera ascensión Invernal.,579,,,,,,,,
411,2008,6,28,Primera ascensión Invernal.,570,,,,,,,,
412,2008,6,28,Primera ascensión Invernal.,569,,,,,,,,
413,2008,10,12,Apertura Ruta Directa Cara Oeste a la cumbre norte.,323,,,,,,,,
414,2008,10,19,Primera Absoluta.,743,,,,,,,,
415,2008,11,23,Apertura del Espolón Oeste.,333,,,,,,,,
416,2009,1,8,Segunda Ascensión. Arista NE.,305,,,,,,,,
417,2009,5,2,Primera Absoluta.,742,,,,,,,,
418,2010,1,10,Apertura del Filo Oeste.,387,,,,,,,,
